State,City,percent_completed_hs,poverty_rate,Median Income
AL,Minor CDP,88.9,10.8,45000
AL,Mobile city,86.9,23.3,38776
AL,Monroeville city,82.3,36.7,30678
AL,Montevallo city,86.6,25.5,34760
AL,Montgomery city,85.5,24.1,42927
AL,Moody city,87.9,9.9,61049
AL,Moores Mill CDP,91,11.1,63911
AL,Mooresville town,83.1,0,99375
AL,Morris town,84.9,5.8,70043
AL,Morrison Crossroads CDP,93.8,9.5,21169
AL,Mosses town,60.4,55.8,15240
AL,Moulton city,79.2,24.3,28843
AL,Moundville town,77.3,18.7,39719
AL,Mountain Brook city,99.5,3,126534
AL,Mount Olive CDP (Coosa County),87.3,1.7,(X)
AL,Mount Olive CDP (Jefferson County),92.5,11,73345
AL,Mount Vernon town,80.8,31.3,40750
AL,Movico CDP,81.9,12.9,(X)
AL,Mulga town,72,30.5,34886
AL,Munford town,87.3,18.8,34034
AL,Muscle Shoals city,88.7,10.7,48896
AL,Myrtlewood town,72.5,7,35000
AL,Nanafalia CDP,94,29.7,(X)
AL,Nances Creek CDP,79.1,0,51196
AL,Napier Field town,80.2,21.7,32000
AL,Natural Bridge town,65.7,2.3,(X)
AL,Nauvoo town,67.2,26.2,27000
AL,Nectar town,78.3,18.3,35313
AL,Needham town,83.7,1.9,56458
AL,Newbern town,74.6,35,18750
AL,New Brockton town,79.8,20.9,41066
AL,New Hope city,84.3,14.8,44224
AL,New Market CDP,86.9,0,59653
AL,New Site town,82.1,9.6,42143
AL,Newton town,82.3,17.7,41198
AL,New Union CDP,84,27.9,36429
AL,Newville town,73,21,31172
AL,North Courtland town,71.3,22.4,24097
AL,North Johns town,75.6,11.7,39750
AL,Northport city,90.2,13.7,53650
AL,Notasulga town,80.7,29.5,37273
AL,Oak Grove town,73,13.1,40972
AL,Oak Hill town,27.3,72.7,(X)
AL,Oakman town,72.2,21.4,40469
AL,Odenville town,76.4,16.2,51518
AL,Ohatchee town,82,14.8,51688
AL,Oneonta city,73.9,12.8,36852
AL,Onycha town,60.5,23.4,22917
AL,Opelika city,83.7,23,40489
AL,Opp city,77.4,25.9,34695
AL,Orange Beach city,92.6,10.5,57535
AL,Orrville town,71.4,37.3,16250
AL,Our Town CDP,78.6,0,38125
AL,Owens Cross Roads town,86.7,9.5,51750
AL,Oxford city,83.5,11.7,51375
AL,Ozark city,82.5,23.1,37813
AL,Paint Rock town,77.5,35.6,23036
AL,Panola CDP,38.1,40.6,(X)
AL,Parrish town,75.3,15.8,29335
AL,Pelham city,92.2,4.6,67907
AL,Pell City city,86.5,20.8,41944
AL,Pennington town,69.9,34.9,(X)
AL,Penton CDP,51.2,30.9,30417
AL,Perdido CDP,78.5,39.5,24286
AL,Perdido Beach town,86.3,17.7,47222
AL,Peterman CDP,97.2,14.2,28009
AL,Petrey town,86.5,0,38750
AL,Phenix City city,84.8,21,36698
AL,Phil Campbell town,78.5,34.4,25852
AL,Pickensville town,70,22.4,31607
AL,Piedmont city,76.8,25.6,28884
AL,Pike Road town,95.8,2.3,97500
AL,Pinckard town,88.6,13,31042
AL,Pine Apple town,81.5,21,46250
AL,Pine Hill town,89.1,48.5,30682
AL,Pine Level CDP,90.5,9.6,56125
AL,Pine Ridge town,54.6,44.7,24286
AL,Pinson city,93.2,5.8,59909
AL,Pisgah town,78.7,31.9,26635
AL,Pleasant Grove city,91.1,6.4,63302
AL,Pleasant Groves town,85,8.2,46875
AL,Point Clear CDP,89.1,12.1,47200
AL,Pollard town,82.3,24.2,31607
AL,Powell town,61.2,31.5,30903
AL,Prattville city,89.9,11.5,55297
AL,Priceville town,91,5.8,84375
AL,Prichard city,78.5,36.3,23785
AL,Providence town,90.5,10.8,40208
AL,Putnam CDP,72.8,30,(X)
AL,Ragland town,73.9,17,38571
AL,Rainbow City city,92.5,17.7,49338
AL,Rainsville city,82.3,16.7,39691
AL,Ranburne town,86.5,5.8,50909
AL,Ray CDP,82.9,5.8,45909
AL,Red Bay city,77.1,29.9,29076
AL,Redland CDP,91.8,5.9,75139
AL,Red Level town,79.2,17.6,38571
AL,Redstone Arsenal CDP,94,9.8,60893
AL,Reece City town,85.6,13.7,43261
AL,Reeltown CDP,78.5,0,74688
AL,Reform town,79.4,39.9,20136
AL,Rehobeth town,84.9,9.5,47108
AL,Repton town,58,34.6,23125
AL,Ridgeville town,69.6,35.9,20625
AL,River Falls town,64.6,20.5,28977
AL,Riverside town,87,4.8,61417
AL,Riverview town,75.5,15.9,37222
AL,Roanoke city,77.2,20.3,34956
AL,Robertsdale city,79.9,10.6,47364
AL,Rock Creek CDP,85.2,8.1,52227
AL,Rockford town,68.4,38.1,22778
AL,Rock Mills CDP,70.4,36.7,(X)
AL,Rockville CDP,64.7,0,-
AL,Rogersville town,81.9,28.7,36346
AL,Rosa town,81.3,11.4,44808
AL,Russellville city,68.9,34.4,29859
AL,Rutledge town,69.8,13.5,39688
AL,St. Florian town,91.7,5,62500
AL,St. Stephens CDP,88.2,25.9,42500
AL,Saks CDP,78.6,17.9,42070
AL,Samson city,65.7,39.6,22556
AL,Sand Rock town,80.8,5.9,44375
AL,Sanford town,73.1,17.5,33333
AL,Saraland city,85.4,11.2,52621
AL,Sardis City town,88.7,12.5,51681
AL,Satsuma city,91.8,10.3,59311
AL,Scottsboro city,81.8,16,38007
AL,Section town,76.6,25.9,30278
AL,Selma city,77.8,41.9,22414
AL,Selmont-West Selmont CDP,78.1,45.5,23015
AL,Semmes city,77.3,19.2,46596
AL,Sheffield city,79.5,25,34205
AL,Shelby CDP,78.9,36.8,45139
AL,Shiloh town,75.6,13.7,36250
AL,Shoal Creek CDP,99.6,2.6,114018
AL,Shorter town,68.4,12.9,38409
AL,Silas town,66,49,27875
AL,Silverhill town,89.3,7.5,40921
AL,Sims Chapel CDP,100,8.6,86071
AL,Sipsey town,83.2,15.2,27393
AL,Skyline town,75.4,19.4,38810
AL,Slocomb city,75.5,17.7,35512
AL,Smiths Station city,80.3,13.5,46354
AL,Smoke Rise CDP,92.7,5,86310
AL,Snead town,80.3,11,35000
AL,Somerville town,78.4,18.7,40417
AL,Southside city,90.3,4.7,65946
AL,South Vinemont town,79.1,32.8,26141
AL,Spanish Fort city,95.8,7.8,72747
AL,Spring Garden CDP,100,20.7,(X)
AL,Springville city,91.1,9.3,73906
AL,Spruce Pine CDP,76.6,0,-
AL,Standing Rock CDP,61.4,0,49583
AL,Stapleton CDP,84.1,7,53083
AL,Steele town,78.7,17.5,31063
AL,Sterrett CDP,64.1,8.5,31410
AL,Stevenson city,81.6,24.5,38053
AL,Stewartville CDP,73.7,17.5,43333
AL,Stockton CDP,91.3,1.4,65000
AL,Sulligent city,74,26.4,30050
AL,Sumiton city,85.1,17.6,42321
AL,Summerdale town,85.3,11.2,39803
AL,Susan Moore town,75,20.6,40417
AL,Sweet Water town,92.5,1.6,79375
AL,Sylacauga city,82.5,29.8,33407
AL,Sylvania town,83.6,17.9,46964
AL,Sylvan Springs town,86.9,5.3,56630
AL,Talladega city,73.9,27.2,29482
AL,Talladega Springs town,80.1,12.5,50833
AL,Tallassee city,88.9,17.1,38275
AL,Tarrant city,78.6,31.8,25653
AL,Taylor town,83.6,19.6,43116
AL,Theodore CDP,85.4,12.2,44284
AL,Thomaston town,89.3,18.3,48523
AL,Thomasville city,82.4,13.3,36146
AL,Thorsby town,80.7,19.2,45478
AL,Tibbie CDP,100,70.8,-
AL,Tidmore Bend CDP,80.6,12.1,48466
AL,Tillmans Corner CDP,82.1,17.7,48290
AL,Town Creek town,83.2,29.6,28382
AL,Toxey town,85.6,33.5,23542
AL,Trafford town,80.8,29.1,28889
AL,Triana town,81.4,27.1,41875
AL,Trinity town,93.7,10,73625
AL,Troy city,83.7,31.1,31707
AL,Trussville city,96.3,4.7,82108
AL,Tuscaloosa city,87.3,25.1,39351
AL,Tuscumbia city,86.2,15.3,41176
AL,Tuskegee city,83.6,27.6,26896
AL,Twin town,77.6,16.5,41705
AL,Underwood-Petersville CDP,77.1,12.9,39874
AL,Union town,76.2,22.7,26875
AL,Union Grove town,91.7,6.2,40313
AL,Union Springs city,57.1,26.8,30032
AL,Uniontown town,66.1,48.4,14967
AL,Uriah CDP,83.8,14.7,23421
AL,Valley city,84.9,18.5,39531
AL,Valley Grande city,85.9,12.3,55134
AL,Valley Head town,75.7,23.2,30391
AL,Vance town,88,9,64432
AL,Vandiver CDP,75.9,12.3,47171
AL,Vernon city,81,31.1,30292
AL,Vestavia Hills city,97.3,4.3,84854
AL,Vina town,57.3,23.9,22500
AL,Vincent town,77.5,10.9,42692
AL,Vinegar Bend CDP,64.5,0,77083
AL,Vredenburgh town,73.5,39,(X)
AL,Wadley town,73.9,34.7,25294
AL,Waldo town,75.8,22,32188
AL,Walnut Grove town,68.4,10.3,38846
AL,Warrior city,86.9,18.8,45396
AL,Waterloo town,73.6,18.2,39167
AL,Waverly town,74.1,10.9,55417
AL,Weaver city,83.9,5.7,44851
AL,Webb town,78,18.7,35375
AL,Wedowee town,70.1,26.7,26574
AL,Weogufka CDP,56.3,43.2,19792
AL,West Blocton town,79.9,31.6,36250
AL,West End-Cobb Town CDP,68.1,19.6,35233
AL,West Jefferson town,88.3,10.2,45938
AL,Westover town,85.2,13.4,58906
AL,West Point town,86.9,14.2,50329
AL,Wetumpka city,85,10.7,46190
AL,Whatley CDP,-,-,-
